supplier,item,description,admin,accounting,qa,qc,dok,systemkaizen,prodsupport_stafftools,prodsupport_staffoffice,prodsupport_supplies,audittraining,prodmgt,impexcrating,molding,fabrication,whreceiving,saitama,purchasing,prodtech,partsinspection,prod1dcmotor,prod1ud700yud,prod1sdrb260,prod1rbw10,prod2glr100,prod1brm,prod1technician,prod1office,prod1partsprep,prod2rbw150,prod2rbg,prod2technician,prod2partsprep,prod2packaging,prod2office,g200,rbw50,rbw100,sdrb100
BENJ ENTERPRISES,Alcohol,Green Cross 70%(500ml),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Archfile,Snowman-Long-Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Archfile,Snowman-Small-Blue ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Archfile,Snowman-Small-Blue ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Archfile,"Snowman-A4 BLue 2""Thick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Archfile,"Snowman-A4 BLue 3""Thick",,,,1,,,,,,,,,15,,,,,1,,1,,,,,,,,,,,,,,,,,,
BENJ ENTERPRISES,Ballpen,Black - Unik,42,,,20,5,,,10,,12,2,4,57,10,20,10,5,10,10,12,7,,14,512,200,,,20,64,115,1,30,40,2,,32,15,56
BENJ ENTERPRISES,Ballpen,Blue - Unik,,,,200,,,,,,8,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,
BENJ ENTERPRISES,Ballpen,Red - Unik,3,5,,350,,,,,,8,2,1,,,10,,5,5,5,2,,,,,,,,10,,,,,,1,,,,
RLT 88 TRADING CO.,Battery,Energizer - AA,4,,,,,,,,,,,,4,,,,,2,,,,,1,,,,,,,,,,,,,,2,
RLT 88 TRADING CO.,Battery,Energizer - AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Battery,Energizer - AAA,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,10,2,,,2,,,,
RLT 88 TRADING CO.,Battery,Energizer - AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Battery,"Maxell -CR2032,3V",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Battery,Eveready - 9V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
RLT 88 TRADING CO.,Battery,Eveready - 9V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Battery,Maxell - CR2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Battery,Maxell - LR44,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Battery,Maxell - LR1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Battery,AA Rechargeable,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Battery,AAA Rechargeable,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
RLT 88 TRADING CO.,Battery,Eveready - C Size/Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Battery,Eveready - C Size/Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Binder Clips,1 5/8,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Binder Clips,1 1/4,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Binder Clips,"2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Binder Clips,3/4,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Binder Clips,3/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Calculator,CASIO MS-10S,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Calculator,CASIO MS-10S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Canon Ink,Cannon 751C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Canon Ink,Cannon 751M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Canon Ink,Cannon 751Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Canon Ink,Cannon 751BLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,Canon Ink,PGBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Carbon Paper,Long,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Carbon Paper,Short,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Card Case,A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Card Case,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Card Case,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,CD-R,Imation - (700mb),,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Clipboard,short,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Clipboard,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Colored Pentel,Faber Castell - Orange,1,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Colored Pentel ,Faber Castell - Blue,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1
RLT 88 TRADING CO.,Colored Pentel ,Faber Castell - Green,1,,,,,,,,,,,,1,,,,,2,2,,,,,,,,,,,,,,,1,,,,1
RLT 88 TRADING CO.,Colored Pentel ,Faber Castell - Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Colored Pentel ,Faber Castell - Violet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RLT 88 TRADING CO.,Colored Pentel  ,Faber Castell - Pink,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1
