,Supplier,ITEM,DESCRIPTION,UNIT, UNIT PRICE ,initial inventory,amt,saferty,total forcast
,BENJ ENTERPRISES,Alcohol,Green Cross 70%(500ml),bottle,78,0,0,0,0
,RLT 88 TRADING CO.,Archfile,Snowman-Long-Blue ,piece,75,0,0,0,0
,RLT 88 TRADING CO.,Archfile,Snowman-Small-Blue ,piece,150,0,0,0,0
,RLT 88 TRADING CO.,Archfile,Snowman-Small-Blue ,piece,200,w,0,0,0
,RLT 88 TRADING CO.,Archfile,"Snowman-A4 BLue 2""Thick",piece,75,0,0,0,0
,RLT 88 TRADING CO.,Archfile,"Snowman-A4 BLue 3""Thick",piece,75,0,0,0,0
,BENJ ENTERPRISES,Ballpen,Black - Unik,piece,6,0,0,0,0
,BENJ ENTERPRISES,Ballpen,Blue - Unik,piece,6,0,0,0,0
,BENJ ENTERPRISES,Ballpen,Red - Unik,piece,6,0,0,0,0
,RLT 88 TRADING CO.,Battery,Energizer - AA,piece,29,0,0,0,0
,RLT 88 TRADING CO.,Battery,Energizer - AA,piece,32,0,0,0,0
,RLT 88 TRADING CO.,Battery,Energizer - AAA,piece,29,0,0,0,0
,RLT 88 TRADING CO.,Battery,Energizer - AAA,piece,32,0,0,0,0
,RLT 88 TRADING CO.,Battery,"Maxell -CR2032,3V",piece,28,0,0,0,0
,RLT 88 TRADING CO.,Battery,Eveready - 9V,piece,100,0,0,0,0
,RLT 88 TRADING CO.,Battery,Eveready - 9V,piece,115,0,0,0,0
,RLT 88 TRADING CO.,Battery,Maxell - CR2025,piece,26,0,0,0,0
,RLT 88 TRADING CO.,Battery,Maxell - LR44,piece,18,0,0,0,0
,RLT 88 TRADING CO.,Battery,Maxell - LR1130,piece,50,0,0,0,0
,RLT 88 TRADING CO.,Battery,AA Rechargeable,piece,250,0,0,0,0
,RLT 88 TRADING CO.,Battery,AAA Rechargeable,piece,320,0,0,0,0
,RLT 88 TRADING CO.,Battery,Eveready - C Size/Format,piece,64.75,0,0,0,0
,RLT 88 TRADING CO.,Battery,Eveready - C Size/Format,piece,80,0,0,0,0
,RLT 88 TRADING CO.,Binder Clips,1 5/8,box,32,0,0,0,0
,RLT 88 TRADING CO.,Binder Clips,1 1/4,box,18,0,0,0,0
,RLT 88 TRADING CO.,Binder Clips,"2""",box,48,0,0,0,0
,RLT 88 TRADING CO.,Binder Clips,3/4,box,8.2,0,0,0,0
,RLT 88 TRADING CO.,Binder Clips,3/4,box,10,0,0,0,0
,RLT 88 TRADING CO.,Calculator,CASIO MS-10S,piece,350,0,0,0,0
,RLT 88 TRADING CO.,Calculator,CASIO MS-10S,piece,400,0,0,0,0
,SM,Canon Ink,Cannon 751C,box,620,0,0,0,0
,SM,Canon Ink,Cannon 751M,box,620,0,0,0,0
,SM,Canon Ink,Cannon 751Y,box,620,0,0,0,0
,SM,Canon Ink,Cannon 751BLK,box,620,0,0,0,0
,SM,Canon Ink,PGBK,box,715,0,0,0,0
,RLT 88 TRADING CO.,Carbon Paper,Long,box,510,0,0,0,0
,RLT 88 TRADING CO.,Carbon Paper,Short,box,500,0,0,0,0
,RLT 88 TRADING CO.,Card Case,A3,piece,40,0,0,0,0
,RLT 88 TRADING CO.,Card Case,A4,piece,22,0,0,0,0
,RLT 88 TRADING CO.,Card Case,A4,piece,26,0,0,0,0
,RLT 88 TRADING CO.,CD-R,Imation - (700mb),piece,26,0,0,0,0
,RLT 88 TRADING CO.,Clipboard,short,piece,36,0,0,0,0
,RLT 88 TRADING CO.,Clipboard,long,piece,32,0,0,0,0
,RLT 88 TRADING CO.,Colored Pentel,Faber Castell - Orange,piece,25,0,0,0,0
,RLT 88 TRADING CO.,Colored Pentel ,Faber Castell - Blue,piece,25,0,0,0,0
,RLT 88 TRADING CO.,Colored Pentel ,Faber Castell - Green,piece,25,0,0,0,0
,RLT 88 TRADING CO.,Colored Pentel ,Faber Castell - Red,piece,25,0,0,0,0
,RLT 88 TRADING CO.,Colored Pentel ,Faber Castell - Violet,piece,25,0,0,0,0
,RLT 88 TRADING CO.,Colored Pentel  ,Faber Castell - Pink,piece,25,0,0,0,0
,RLT 88 TRADING CO.,Colored Pentel  ,Faber Castell - Yellow,piece,25,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Yellow  IT- 161,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Peach - Long Size,pack,10,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Peach - Long Size,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Red,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Lagoon - Long Size,pack,10,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Lagoon - Long Size,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Gold - Long Size,pack,10,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Gold - Long Size,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Pink - Long Size,pack,10,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Pink - Long Size,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Cyber Green IT-322,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Cyber Orange - Long Size,pack,10,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Cyber Orange - Long Size,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Lavender,pack,10,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Lavender,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Cyber Yellow IT-364,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Blue IT- 221,pack,11,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Parrot - Long Size,pack,10,0,0,0,0
,BENJ ENTERPRISES,Construction Paper,Parrot - Long Size,pack,11,0,0,0,0
,RLT 88 TRADING CO.,Continuous Form,9 1/2 x 11 (2 ply),box,1050,0,0,0,0
,RLT 88 TRADING CO.,Continuous Form,9 1/2 x 11 (2 ply) SMART,box,1165,0,0,0,0
,RLT 88 TRADING CO.,Copy Paper,Lazer - A4(210x297mm.),ream,165,0,0,0,0
,RLT 88 TRADING CO.,Copy Paper,Lazer - A4(210x297mm.),ream,170,0,0,0,0
,RLT 88 TRADING CO.,Copy Paper,Lazer - Short(216x279mm.),ream,128,0,0,0,0
,RLT 88 TRADING CO.,Copy Paper,Lazer - Long(216x330mm.),ream,195,0,0,0,0
,RLT 88 TRADING CO.,Copy Paper,Lazer - A3(420x297mm.),ream,330,0,0,0,0
,CHRISTCA PRINTING PRESS,Copy paper ,Special Paper A5(GM Slips),ream,270,0,0,0,0
